PSOTIVOS: 
(('남북', 'NNG'), 2998)  Dos coreas
(('하이라이트', 'NNG'), 19)
(('단독', 'NNG'), 19)
(('앞', 'NNG'), 19)
(('순', 'NNG'), 19)
(('년', 'NNB'), 19)
(('초대', 'NNG'), 19)
(('원', 'NNG'), 19)
(('수정', 'NNG'), 19)
(('바', 'NNG'), 19)
(('2018.04', 'NR'), 19)
(('모두', 'NNG'), 19)
(('레', 'NNG'), 18)
(('만', 'NR'), 18)
(('박', 'NNG'), 18)
(('소리', 'NNG'), 18)
(('특별', 'NNG'), 18)
(('평', 'NNG'), 18)
(('외신', 'NNG'), 18)
(('뉴', 'NNG'), 18)
(('대대', 'NNG'), 18)
(('이례적', 'NNG'), 18)
(('정당', 'NNG'), 18)
(('국회', 'NNG'), 17)
(('희망', 'NNG'), 17)
(('노무현', 'NNG'), 17)
(('긍정적', 'NNG'), 17)
(('독일', 'NNG'), 17)
(('눈', 'NNG'), 17)
(('다음날', 'NNG'), 17)
(('자', 'NNG'), 17)
(('성동', 'NNP'), 17)
(('감사', 'NNG'), 17)
(('경제', 'NNG'), 17)
(('탁', 'NNB'), 17)
(('후', 'NNG'), 17)
(('시대', 'NNG'), 17)
(('참석', 'NNG'), 17)
(('공개', 'NNG'), 17)
(('이야기', 'NNG'), 17)
(('분', 'NNB'), 17)
(('곳곳', 'NNG'), 17)
(('명', 'NNM'), 16)
(('악수', 'NNG'), 16)
(('그것', 'NP'), 16)
(('고', 'NNG'), 16)
(('당일', 'NNG'), 16)
(('힘', 'NNG'), 16)
(('정신', 'NNG'), 16)
(('신', 'NNG'), 16)
(('주민', 'NNG'), 16)
(('모습', 'NNG'), 16)
(('컷', 'NNG'), 16)
(('행정관', 'NNG'), 16)
(('24', 'NR'), 16)
(('정도', 'NNG'), 16)
(('윤', 'NNG'), 16)
(('무엇', 'NNG'), 16)
(('오전', 'NNG'), 16)
(('준비', 'NNG'), 16)
(('하다', 'NNP'), 16)
(('분단', 'NNG'), 16)
(('티', 'NNG'), 16)
(('발언', 'NNG'), 16)
(('최고', 'NNG'), 15)
(('표현', 'NNG'), 15)
(('촛불', 'NNG'), 15)
(('개', 'NNG'), 15)
(('한번', 'NNG'), 15)
(('이', 'NP'), 15)
(('기도', 'NNG'), 15)
(('학교', 'NNG'), 15)
(('중요', 'NNG'), 15)
(('아이', 'NNG'), 15)
(('인터뷰', 'NNG'), 15)
(('이', 'NR'), 15)
(('제가', 'NNG'), 15)
(('자리', 'NNG'), 15)
(('때문', 'NNB'), 15)
(('인권', 'NNG'), 15)
(('다리', 'NNG'), 15)
(('노', 'NNG'), 15)
(('표정', 'NNG'), 15)
(('온라인', 'NNG'), 15)
(('포스트', 'NNG'), 14)
(('국', 'NNG'), 14)
(('마지막', 'NNG'), 14)
(('진행', 'NNG'), 14)
(('약속', 'NNG'), 14)
(('아침', 'NNG'), 14)
(('가능', 'NNG'), 14)
(('인', 'NNG'), 14)
(('모음', 'NNG'), 14)
(('폄하', 'NNG'), 14)
(('하나', 'NNG'), 14)
(('분', 'NNG'), 14)
(('최', 'NNP'), 14)
(('올림픽', 'NNG'), 14)
(('감격', 'NNG'), 14)
(('무시', 'NNG'), 14)
(('대', 'NNB'), 14)
(('톱', 'NNG'), 14)
(('정치인', 'NNG'), 14)
(('로', 'NNG'), 14)
(('누', 'NNG'), 14)
(('동', 'NNG'), 14)
(('시청', 'NNG'), 14)
(('ㄷ', 'NNG'), 14)
(('도심', 'NNG'), 14)
(('규탄', 'NNG'), 14)
(('룸', 'NNG'), 14)
(('나', 'NNG'), 14)
(('만', 'NNB'), 14)
(('대동소이', 'NNG'), 14)
(('사실', 'NNG'), 13)
(('이제', 'NNG'), 13)
(('포함', 'NNG'), 13)
(('이틀', 'NNG'), 13)
(('중앙', 'NNG'), 13)
(('15', 'NR'), 13)
(('세', 'NNM'), 13)
(('덕', 'NNG'), 13)
(('좌파', 'NNG'), 13)
(('정', 'NNG'), 13)
(('검찰', 'NNG'), 13)
(('이것', 'NP'), 13)
(('여기저기', 'NNG'), 13)
(('방', 'NNG'), 13)
(('입장', 'NNG'), 13)
(('겨울', 'NNG'), 13)
(('도보', 'NNG'), 13)
(('부', 'NNM'), 13)
(('매체', 'NNG'), 13)
(('사진전', 'NNG'), 13)
(('극우', 'NNG'), 13)
(('시', 'NNG'), 13)
(('니', 'NP'), 13)
(('외교', 'NNG'), 12)
(('그날', 'NNG'), 12)
(('동의', 'NNG'), 12)
(('협력', 'NNG'), 12)
(('전문가', 'NNG'), 12)
(('확인', 'NNG'), 12)
(('코리아', 'NNG'), 12)
(('감', 'NNG'), 12)
(('책', 'NNG'), 12)
(('극', 'NNG'), 12)
(('대북', 'NNG'), 12)
(('전세계', 'NNG'), 12)
(('누리', 'NNG'), 12)
(('훈민정음', 'NNG'), 12)
(('포토', 'NNG'), 12)
(('장관', 'NNG'), 12)
(('네티즌', 'NNG'), 12)
(('창', 'NNG'), 12)
(('지방', 'NNG'), 12)
(('지원', 'NNG'), 12)
(('애', 'NNG'), 12)
(('비', 'NNG'), 12)
(('차', 'NNG'), 12)
(('지도자', 'NNG'), 12)
(('자기', 'NP'), 12)
(('원', 'NNM'), 12)
(('해', 'NNG'), 12)
(('특보', 'NNG'), 12)
(('참여', 'NNG'), 12)
(('뒤', 'NNG'), 12)
(('위', 'NNM'), 12)
(('세상', 'NNG'), 12)
(('산', 'NNG'), 12)
(('토론', 'NNG'), 12)
(('비판', 'NNG'), 12)
(('구체적', 'NNG'), 12)
(('맘', 'NNG'), 11)
(('경기도', 'NNP'), 11)
(('지사', 'NNG'), 11)
(('어디', 'NP'), 11)
(('진심', 'NNG'), 11)
(('급', 'NNG'), 11)
(('도', 'NNG'), 11)
(('총리', 'NNG'), 11)
(('학생', 'NNG'), 11)
(('무대', 'NNG'), 11)
(('65', 'NR'), 11)
(('아', 'NNG'), 11)
(('세력', 'NNG'), 11)
(('중국', 'NNG'), 11)
(('한', 'NNG'), 11)
(('비공개', 'NNG'), 11)
(('화면', 'NNG'), 11)
(('꽃', 'NNG'), 11)
(('결국', 'NNG'), 11)
(('시장', 'NNG'), 11)
(('특검', 'NNG'), 11)
(('박근', 'NNG'), 11)
(('해체', 'NNG'), 11)
(('주장', 'NNG'), 11)
(('표시', 'NNG'), 11)
(('개성', 'NNG'), 11)
(('데일리', 'NNG'), 11)
(('재생', 'NNG'), 11)
(('화제', 'NNG'), 11)
(('내', 'NP'), 11)
(('철도', 'NNG'), 11)
(('정리', 'NNG'), 11)
(('연', 'NNG'), 11)
(('기억', 'NNG'), 11)
(('듀엣', 'NNG'), 11)
(('자신', 'NNG'), 11)
(('주요', 'NNG'), 11)
(('끝', 'NNG'), 11)
(('땅', 'NNG'), 11)
(('행', 'NNG'), 10)
(('고생', 'NNG'), 10)
(('필요', 'NNG'), 10)
(('내가', 'NNG'), 10)
(('75', 'NR'), 10)
(('분간', 'NNG'), 10)
(('메뉴', 'NNG'), 10)
(('협정', 'NNG'), 10)
(('절하', 'NNG'), 10)
(('건', 'NNM'), 10)
(('우리', 'NNM'), 10)
(('러시아', 'NNG'), 10)
(('회의', 'NNG'), 10)
(('생방송', 'NNG'), 10)
(('맛', 'NNG'), 10)
(('중동', 'NNP'), 10)
(('트위터', 'NNG'), 10)
(('당과', 'NNG'), 10)
(('간', 'NNB'), 10)
(('번', 'NNB'), 10)
(('팔', 'NNG'), 10)
(('목록', 'NNG'), 10)
(('진정', 'NNG'), 10)
(('13', 'NR'), 10)
(('이거', 'NP'), 10)
(('코드', 'NNG'), 10)
(('대', 'NNG'), 10)
(('부', 'NNG'), 10)
(('지역', 'NNG'), 10)
(('사', 'NNG'), 10)
(('집단', 'NNG'), 10)
(('옥류관', 'NNG'), 10)
(('누구', 'NP'), 10)
(('건배', 'NNG'), 10)
(('11', 'NR'), 10)
(('라이브', 'NNG'), 10)
(('찻집', 'NNG'), 10)
(('시청자', 'NNG'), 10)
(('선택', 'NNG'), 10)
(('034', 'NR'), 10)
(('군', 'NNG'), 10)
(('예고', 'NNG'), 9)
(('예정', 'NNG'), 9)
(('투데이', 'NNG'), 9)
(('역할', 'NNG'), 9)
(('방북', 'NNG'), 9)
(('전국', 'NNG'), 9)
(('밥', 'NNG'), 9)
(('동안', 'NNG'), 9)
(('사회', 'NNG'), 9)
(('가격', 'NNG'), 9)
(('얼마', 'NNG'), 9)
(('상대', 'NNG'), 9)
(('진짜', 'NNG'), 9)
(('뜻', 'NNG'), 9)
(('공무원', 'NNG'), 9)
(('종', 'NNG'), 9)
(('반도', 'NNG'), 9)
(('사마귀', 'NNG'), 9)
(('돌변', 'NNG'), 9)
(('만', 'NNG'), 9)
(('효과', 'NNG'), 9)
(('동북아', 'NNG'), 9)
(('관계', 'NNG'), 9)
(('취재', 'NNG'), 9)
(('자체', 'NNG'), 9)
(('형', 'NNG'), 9)
(('뉴욕', 'NNP'), 9)
(('이명', 'NNG'), 9)
(('여론', 'NNG'), 9)
(('언급', 'NNG'), 9)
(('과', 'NNG'), 9)
(('목', 'NNG'), 9)
(('금', 'NNG'), 9)
(('협상', 'NNG'), 9)
(('이상', 'NNG'), 9)
(('2018.4', 'NR'), 9)
(('빵', 'NNG'), 9)
(('그림', 'NNG'), 9)
(('민주', 'NNG'), 9)
(('공단', 'NNG'), 9)
(('목소리', 'NNG'), 9)
(('파주', 'NNP'), 9)
(('눈길', 'NNG'), 9)
(('은', 'NNG'), 9)
(('정권', 'NNG'), 9)
(('대응', 'NNG'), 9)
(('협의', 'NNG'), 9)
(('숨', 'NNG'), 9)
(('주말', 'NNG'), 9)
(('각국', 'NNG'), 9)
(('브리핑', 'NNG'), 9)
(('지적', 'NNG'), 9)
(('리얼', 'NNG'), 9)
(('대대적', 'NNG'), 9)
(('이름', 'NNG'), 9)
(('보기', 'NNG'), 9)
(('대', 'NNM'), 9)
(('공장', 'NNG'), 9)
(('방송사', 'NNG'), 9)
(('열린', 'NNP'), 9)
(('열창', 'NNG'), 9)
(('하', 'NNG'), 9)
(('장식', 'NNG'), 8)
(('행복', 'NNG'), 8)
(('공', 'NNG'), 8)
(('61', 'NR'), 8)
(('폐기', 'NNG'), 8)
(('논의', 'NNG'), 8)
(('29', 'NR'), 8)
(('상징', 'NNG'), 8)
(('라도', 'NNP'), 8)
(('표가', 'NNG'), 8)
(('배', 'NNG'), 8)
(('전략', 'NNG'), 8)
(('상황', 'NNG'), 8)
(('총괄', 'NNG'), 8)
(('금식', 'NNG'), 8)
(('사상', 'NNG'), 8)
(('마이', 'NNG'), 8)
(('당장', 'NNG'), 8)
(('조금', 'NNG'), 8)
(('남한', 'NNG'), 8)
(('마', 'NNG'), 8)
(('강원도', 'NNP'), 8)
(('작성자', 'NNG'), 8)
(('초', 'NNG'), 8)
(('목사', 'NNG'), 8)
(('과정', 'NNG'), 8)
(('인민', 'NNG'), 8)
(('디', 'NNG'), 8)
(('언', 'NNG'), 8)
(('대부분', 'NNG'), 8)
(('강원', 'NNG'), 8)
(('가요', 'NNG'), 8)
(('베스트', 'NNG'), 8)
(('유', 'NNG'), 8)
(('관광', 'NNG'), 8)
(('희경', 'NNG'), 8)
(('대변인', 'NNG'), 8)
(('인간', 'NNG'), 8)
(('긴장', 'NNG'), 8)
(('대구', 'NNG'), 8)
(('ㅅ', 'NNG'), 8)
(('구민', 'NNG'), 8)
(('여야', 'NNG'), 8)
(('최초', 'NNG'), 8)
(('놈', 'NNG'), 8)
(('비밀', 'NNG'), 8)
(('사랑', 'NNG'), 8)
(('여당', 'NNG'), 8)
(('여정', 'NNG'), 8)
(('준의', 'NNG'), 8)
(('카페', 'NNG'), 8)
(('얘기', 'NNG'), 8)
(('군사', 'NNG'), 8)
(('차', 'NNB'), 8)
(('기회', 'NNG'), 8)
(('주년', 'NNM'), 8)
(('냉', 'NNG'), 8)
(('자격', 'NNG'), 8)
(('니들', 'NNG'), 8)
(('정의', 'NNG'), 8)
(('오후', 'NNG'), 8)
(('담', 'NNG'), 7)
(('호', 'NNG'), 7)
(('서훈', 'NNG'), 7)
(('클래식', 'NNG'), 7)
(('천', 'NR'), 7)
(('한미', 'NNG'), 7)
(('무', 'NNG'), 7)
(('남과', 'NNG'), 7)
(('선물', 'NNG'), 7)
(('보고', 'NNG'), 7)
(('공신', 'NNG'), 7)
(('이동', 'NNG'), 7)
(('하자', 'NNG'), 7)
(('ㅁ', 'NNG'), 7)
(('ㄱ', 'NNG'), 7)
(('재', 'NNG'), 7)
(('교류', 'NNG'), 7)
(('한겨레', 'NNG'), 7)
(('복원', 'NNG'), 7)
(('가을', 'NNG'), 7)
(('느낌', 'NNG'), 7)
(('구', 'NNG'), 7)
(('김대중', 'NNG'), 7)
(('킹', 'NNG'), 7)
(('사건', 'NNG'), 7)
(('실시', 'NNG'), 7)
(('댓', 'NR'), 7)
(('기적', 'NNG'), 7)
(('회원', 'NNG'), 7)
(('광장', 'NNG'), 7)
(('부인', 'NNG'), 7)
(('옆', 'NNG'), 7)
(('가치', 'NNG'), 7)
(('달', 'NNG'), 7)
(('이전', 'NNG'), 7)
(('장사', 'NNG'), 7)
(('건', 'NNG'), 7)
(('강', 'NNG'), 7)
(('영화', 'NNG'), 7)
(('소감', 'NNG'), 7)
(('하락', 'NNG'), 7)
(('꿈', 'NNG'), 7)
(('터', 'NNB'), 7)
(('인사', 'NNG'), 7)
(('여기', 'NP'), 7)
(('상봉', 'NNG'), 7)
(('기분', 'NNG'), 7)
(('주', 'NNG'), 7)
(('추미애', 'NNG'), 7)
(('우', 'NNG'), 7)
(('음성', 'NNG'), 7)
(('비리', 'NNG'), 7)
(('기간', 'NNG'), 7)
(('한정', 'NNG'), 7)
(('수미', 'NNG'), 7)
(('엄지', 'NNG'), 7)
(('부정적', 'NNG'), 7)
(('분석', 'NNG'), 7)
(('유럽', 'NNG'), 7)
(('초청', 'NNG'), 7)
(('충북', 'NNG'), 7)
(('분계선', 'NNG'), 7)
(('함박', 'NNG'), 7)
(('조직위', 'NNG'), 7)
(('시스', 'NNP'), 7)
(('모든', 'NNP'), 7)
(('기념품', 'NNG'), 7)
(('머니', 'NNG'), 6)
(('영광', 'NNG'), 6)
(('날인', 'NNG'), 6)
(('등', 'NNM'), 6)
(('무리', 'NNG'), 6)
(('부족', 'NNG'), 6)
(('저녁', 'NNG'), 6)
(('당적', 'NNG'), 6)
(('주시', 'NNG'), 6)
(('대비', 'NNG'), 6)
(('프로그램', 'NNG'), 6)
(('남경', 'NNG'), 6)
(('초등', 'NNG'), 6)
(('노동당', 'NNG'), 6)
(('제주도', 'NNP'), 6)
(('영향', 'NNG'), 6)
(('보유국', 'NNG'), 6)
(('타임', 'NNG'), 6)
(('아이디어', 'NNG'), 6)
(('전달', 'NNG'), 6)
(('마술', 'NNG'), 6)
(('대중', 'NNG'), 6)
(('합의문', 'NNG'), 6)
(('실천', 'NNG'), 6)
(('중심', 'NNG'), 6)
(('동포', 'NNG'), 6)
(('가슴', 'NNG'), 6)
(('루', 'NNG'), 6)
(('26', 'NR'), 6)
(('특필', 'NNG'), 6)
(('언론사', 'NNG'), 6)
(('대국민', 'NNG'), 6)
(('종편', 'NNG'), 6)
(('이날', 'NNG'), 6)
(('칭찬', 'NNG'), 6)
(('타임즈', 'NNG'), 6)
(('의견', 'NNG'), 6)
(('인정', 'NNG'), 6)
(('중', 'NNG'), 6)
(('미일', 'NNG'), 6)
(('안정', 'NNG'), 6)
(('출신', 'NNG'), 6)
(('금강산', 'NNP'), 6)
(('너', 'NP'), 6)
(('발정', 'NNG'), 6)
(('행태', 'NNG'), 6)
(('적폐', 'NNG'), 6)
(('가짜', 'NNG'), 6)
(('성향', 'NNG'), 6)
(('요구', 'NNG'), 6)
(('잠', 'NNG'), 6)
(('시각', 'NNG'), 6)
(('내외', 'NNG'), 6)
(('강조', 'NNG'), 6)
(('기획', 'NNG'), 6)
(('있음', 'NNG'), 6)
(('제외', 'NNG'), 6)
(('해외', 'NNG'), 6)
(('기대감', 'NNG'), 6)
(('이슈', 'NNG'), 6)
(('생', 'NNG'), 6)
(('입법부', 'NNG'), 6)
(('연락', 'NNG'), 6)
(('화합', 'NNG'), 6)
(('텀', 'NNB'), 6)
(('정책', 'NNG'), 6)
(('실시간', 'NNG'), 6)
(('김성태', 'NNG'), 6)
(('영', 'NNG'), 6)
(('주목', 'NNG'), 6)
(('지선', 'NNG'), 6)
(('건강', 'NNG'), 6)
(('주역', 'NNG'), 6)
(('장소', 'NNG'), 6)
(('백두', 'NNG'), 6)
(('바다', 'NNG'), 6)
(('각', 'NNG'), 6)
(('곡', 'NNG'), 6)
(('능력', 'NNG'), 6)
(('소환', 'NNG'), 6)
(('과거', 'NNG'), 6)
(('임', 'NNG'), 6)
(('조폭', 'NNG'), 6)
(('칠', 'NR'), 6)
(('리', 'NNM'), 6)
(('예언', 'NNG'), 6)
(('요약', 'NNG'), 6)
(('성조기', 'NNG'), 6)
(('최종전', 'NNG'), 6)
(('녹화', 'NNG'), 6)
(('소', 'NNG'), 6)
(('격', 'NNG'), 6)
(('진보', 'NNG'), 6)
(('상태', 'NNG'), 6)
(('여러분', 'NP'), 6)
(('기차', 'NNG'), 6)
(('통', 'NNG'), 6)
(('부산', 'NNG'), 6)
(('운동', 'NNG'), 6)
(('제작', 'NNG'), 6)
(('ㅂ', 'NNG'), 6)
(('쌍', 'NNG'), 6)
(('서명', 'NNG'), 6)
(('손님', 'NNG'), 6)
(('상', 'NNG'), 6)
(('식수', 'NNG'), 6)
(('환호', 'NNG'), 6)
(('상상', 'NNG'), 6)
(('한국인', 'NNG'), 6)
(('경필', 'NNG'), 6)
(('등장', 'NNG'), 6)
(('방증', 'NNG'), 6)
(('대변혁', 'NNG'), 6)
(('명', 'NNG'), 5)
(('결실', 'NNG'), 5)
(('양', 'NNG'), 5)
(('각자', 'NNG'), 5)
(('진', 'NNG'), 5)
(('송영', 'NNG'), 5)
(('방어', 'NNG'), 5)
(('거지', 'NNG'), 5)
(('수치', 'NNG'), 5)
(('전망', 'NNG'), 5)
(('제대', 'NNG'), 5)
(('체크', 'NNG'), 5)
(('전화', 'NNG'), 5)
(('현상', 'NNG'), 5)
(('스크린', 'NNG'), 5)
(('그거', 'NP'), 5)
(('이미지', 'NNG'), 5)
(('18', 'NR'), 5)
(('등', 'NNG'), 5)
