(('회담', 'NNG'), 333)  Summit
(('신고', 'NNG'), 3)
(('봄', 'NNG'), 3)
(('교회', 'NNG'), 3)
(('진정', 'NNG'), 3)
(('427', 'NR'), 3)
(('당신', 'NP'), 3)
(('중립', 'NNG'), 3)
(('정전', 'NNG'), 3)
(('당원', 'NNG'), 3)
(('민족', 'NNG'), 3)
(('학교', 'NNG'), 3)
(('대표부', 'NNG'), 3)
(('남한', 'NNG'), 3)
(('자위대', 'NNG'), 3)
(('수구', 'NNG'), 3)
(('꼴통', 'NNG'), 3)
(('포', 'NNG'), 3)
(('혜경궁', 'NNG'), 3)
(('담', 'NNG'), 3)
(('임', 'NNG'), 3)
(('비', 'NNG'), 3)
(('들', 'NNG'), 3)
(('곳', 'NNG'), 3)
(('ㅈ', 'NNG'), 3)
(('뒷', 'NNG'), 3)
(('수사', 'NNG'), 3)
(('비공개', 'NNG'), 3)
(('여', 'NNG'), 3)
(('청와대', 'NNG'), 3)
(('분열', 'NNG'), 3)
(('부대', 'NNG'), 3)
(('먼지', 'NNG'), 3)
(('기념', 'NNG'), 3)
(('숟가락', 'NNG'), 3)
(('심', 'NNG'), 3)
(('동', 'NNG'), 3)
(('청래', 'NNG'), 3)
(('구도', 'NNG'), 3)
(('티', 'NNG'), 3)
(('음해', 'NNG'), 3)
(('있음', 'NNG'), 3)
(('117', 'NR'), 3)
(('휴식', 'NNG'), 3)
(('참모', 'NNG'), 3)
(('고심', 'NNG'), 3)
(('대동소이', 'NNG'), 3)
(('성남', 'NNG'), 3)
(('12', 'NR'), 3)
(('꼴', 'NNG'), 3)
(('혼자', 'NNG'), 3)
(('특검', 'NNG'), 2)
(('오소리', 'NNG'), 2)
(('총동원', 'NNG'), 2)
(('알맹이', 'NNG'), 2)
(('수영구', 'NNP'), 2)
(('구', 'NNG'), 2)
(('최종', 'NNG'), 2)
(('수영', 'NNG'), 2)
(('로타리', 'NNG'), 2)
(('조용필', 'NNG'), 2)
(('어깨동무', 'NNG'), 2)
(('종합', 'NNG'), 2)
(('지역주의', 'NNG'), 2)
(('희생', 'NNG'), 2)
(('고향', 'NNG'), 2)
(('몸', 'NNG'), 2)
(('초', 'NNB'), 2)
(('잔칫날', 'NNG'), 2)
(('전범', 'NNG'), 2)
(('만이', 'NNG'), 2)
(('지선', 'NNG'), 2)
(('대세', 'NNG'), 2)
(('탁', 'NNB'), 2)
(('행정관', 'NNG'), 2)
(('인색', 'NNG'), 2)
(('검열', 'NNG'), 2)
(('탁행', 'NNG'), 2)
(('기획', 'NNG'), 2)
(('천재', 'NNG'), 2)
(('컬러링', 'NNG'), 2)
(('알람', 'NNG'), 2)
(('능력자', 'NNG'), 2)
(('대로', 'NNG'), 2)
(('혐의자', 'NNG'), 2)
(('오산', 'NNG'), 2)
(('만약', 'NNG'), 2)
(('오점', 'NNG'), 2)
(('막장', 'NNG'), 2)
(('불량', 'NNG'), 2)
(('다라', 'NNG'), 2)
(('메세지', 'NNG'), 2)
(('적극적', 'NNG'), 2)
(('데로', 'NNG'), 2)
(('작전', 'NNG'), 2)
(('300', 'NR'), 2)
(('32', 'NR'), 2)
(('3610', 'NR'), 2)
(('육박', 'NNG'), 2)
(('창출', 'NNG'), 2)
(('달러', 'NNM'), 2)
(('안팎', 'NNG'), 2)
(('추산', 'NNG'), 2)
(('기대', 'NNG'), 2)
(('셈', 'NNB'), 2)
(('일색', 'NNG'), 2)
(('한미', 'NNG'), 2)
(('철도', 'NNG'), 2)
(('유라시아', 'NNG'), 2)
(('열', 'NR'), 2)
(('전화', 'NNG'), 2)
(('뇌사', 'NNG'), 2)
(('특별', 'NNG'), 2)
(('끈', 'NNG'), 2)
(('화면', 'NNG'), 2)
(('민의', 'NNG'), 2)
(('대신', 'NNP'), 2)
(('기관', 'NNG'), 2)
(('아랑곳', 'NNG'), 2)
(('꼬투리', 'NNG'), 2)
(('투표법', 'NNG'), 2)
(('위헌', 'NNG'), 2)
(('사항', 'NNG'), 2)
(('송환', 'NNG'), 2)
(('애초', 'NNG'), 2)
(('가해자', 'NNG'), 2)
(('자가', 'NNG'), 2)
(('기회', 'NNG'), 2)
(('자본주의', 'NNG'), 2)
(('급등', 'NNG'), 2)
(('주식', 'NNG'), 2)
(('경제가', 'NNG'), 2)
(('거시기', 'NP'), 2)
(('머리', 'NNG'), 2)
(('인천', 'NNG'), 2)
(('공항', 'NNG'), 2)
(('잎', 'NNB'), 2)
(('바로크', 'NNG'), 2)
(('라이', 'NNG'), 2)
(('조현', 'NNG'), 2)
(('말하기', 'NNG'), 2)
(('우려', 'NNG'), 2)
(('현수막', 'NNG'), 2)
(('라도', 'NNP'), 2)
(('26', 'NR'), 2)
(('상대', 'NNG'), 2)
(('도', 'NNG'), 2)
(('경북', 'NNP'), 2)
(('지사', 'NNG'), 2)
(('대접', 'NNG'), 2)
(('고립', 'NNG'), 2)
(('철수', 'NNG'), 2)
(('하', 'NNG'), 2)
(('태경', 'NNG'), 2)
(('재향군인회', 'NNG'), 2)
(('달', 'NNG'), 2)
(('남자', 'NNG'), 2)
(('전세계', 'NNG'), 2)
(('비리', 'NNG'), 2)
(('연루', 'NNG'), 2)
(('당일', 'NNG'), 2)
(('총선', 'NNG'), 2)
(('화해', 'NNG'), 2)
(('무드', 'NNG'), 2)
(('재', 'NNG'), 2)
(('동영상', 'NNG'), 2)
(('살', 'NNM'), 2)
(('삶', 'NNG'), 2)
(('간', 'NNG'), 2)
(('매국노', 'NNG'), 2)
(('갈등', 'NNG'), 2)
(('수혜', 'NNG'), 2)
(('금융', 'NNG'), 2)
(('부동산', 'NNG'), 2)
(('일의', 'NNG'), 2)
(('차', 'NNG'), 2)
(('탈', 'NNG'), 2)
(('주도권', 'NNG'), 2)
(('73', 'NR'), 2)
(('상승세', 'NNG'), 2)
(('기대감', 'NNG'), 2)
(('친', 'NNG'), 2)
(('거품', 'NNG'), 2)
(('참석', 'NNG'), 2)
(('번', 'NNM'), 2)
(('다음날', 'NNG'), 2)
(('주역', 'NNG'), 2)
(('금강산', 'NNP'), 2)
(('말씀', 'NNG'), 2)
(('리포터', 'NNG'), 2)
(('진행', 'NNG'), 2)
(('할아버지', 'NNG'), 2)
(('백두산', 'NNP'), 2)
(('산바람', 'NNG'), 2)
(('밑', 'NNG'), 2)
(('시대', 'NNG'), 2)
(('개인적', 'NNG'), 2)
(('주변', 'NNG'), 2)
(('귀', 'NNG'), 2)
(('죄', 'NNG'), 2)
(('비극', 'NNG'), 2)
(('짱', 'NNG'), 2)
(('바', 'NNB'), 2)
(('일보', 'NNG'), 2)
(('동아', 'NNG'), 2)
(('프로그램', 'NNG'), 2)
(('극', 'NNG'), 2)
(('소개', 'NNG'), 2)
(('답', 'NNG'), 2)
(('부정적', 'NNG'), 2)
(('암', 'NNG'), 2)
(('방명록', 'NNG'), 2)
(('집', 'NNG'), 2)
(('깨', 'NNG'), 2)
(('르', 'NNG'), 2)
(('ㅇ', 'NNG'), 2)
(('호', 'NR'), 2)
(('너', 'NP'), 2)
(('패널', 'NNG'), 2)
(('센스', 'NNG'), 2)
(('학', 'NNG'), 2)
(('하려', 'NNG'), 2)
(('정당', 'NNG'), 2)
(('출신', 'NNG'), 2)
(('국내', 'NNG'), 2)
(('조준', 'NNG'), 2)
(('대사', 'NNG'), 2)
(('일간지', 'NNG'), 2)
(('4.27', 'NR'), 2)
(('조', 'NNG'), 2)
(('고생', 'NNG'), 2)
(('명', 'NNG'), 2)
(('발', 'NNG'), 2)
(('전략', 'NNG'), 2)
(('노동', 'NNG'), 2)
(('가운데', 'NNG'), 2)
(('양국', 'NNG'), 2)
(('저녁', 'NNG'), 2)
(('바보', 'NNG'), 2)
(('능력', 'NNG'), 2)
(('성향', 'NNG'), 2)
(('건', 'NNG'), 2)
(('적폐', 'NNG'), 2)
(('우위', 'NNG'), 2)
(('이용', 'NNG'), 2)
(('함', 'NNG'), 2)
(('파이', 'NNG'), 2)
(('결과', 'NNG'), 2)
(('실망', 'NNG'), 2)
(('원님', 'NNG'), 2)
(('땜', 'NNB'), 2)
(('스마트', 'NNP'), 2)
(('팔', 'NNG'), 2)
(('급', 'NNG'), 2)
(('평양가', 'NNG'), 2)
(('올해', 'NNG'), 2)
(('마음', 'NNG'), 2)
(('민주주의', 'NNG'), 2)
(('주의자', 'NNG'), 2)
(('조작', 'NNG'), 2)
(('자신', 'NNG'), 2)
(('폄훼', 'NNG'), 2)
(('65', 'NR'), 2)
(('움막', 'NNG'), 2)
(('환송', 'NNG'), 2)
(('예상', 'NNG'), 2)
(('발걸음', 'NNG'), 2)
(('가지', 'NNM'), 2)
(('키워드', 'NNG'), 2)
(('맷돌', 'NNG'), 2)
(('존재', 'NNG'), 2)
(('작업', 'NNG'), 2)
(('이래', 'NNB'), 2)
(('여성', 'NNG'), 2)
(('계정', 'NNG'), 2)
(('조직', 'NNG'), 2)
(('스토리', 'NNG'), 2)
(('연평도', 'NNP'), 2)
(('포격', 'NNG'), 2)
(('세력', 'NNG'), 2)
(('테러', 'NNG'), 2)
(('대책', 'NNG'), 2)
(('처음', 'NNG'), 2)
(('가능성', 'NNG'), 2)
(('생일', 'NNG'), 2)
(('소원', 'NNG'), 2)
(('감동', 'NNG'), 2)
(('뽕', 'NNG'), 2)
(('회', 'NNG'), 2)
(('올림픽', 'NNG'), 2)
(('집사람', 'NNG'), 2)
(('특집', 'NNG'), 2)
(('예약', 'NNG'), 2)
(('사기꾼', 'NNG'), 2)
(('분', 'NNG'), 2)
(('동의', 'NNG'), 2)
(('지방', 'NNG'), 2)
(('백', 'NNG'), 2)
(('하늘', 'NNG'), 2)
(('넥타이', 'NNG'), 2)
(('땅', 'NNG'), 2)
(('짝', 'NNG'), 2)
(('임종', 'NNG'), 2)
(('공로', 'NNG'), 2)
(('땀', 'NNG'), 2)
(('숨', 'NNG'), 2)
(('대기', 'NNG'), 2)
(('외압', 'NNG'), 2)
(('정권', 'NNG'), 2)
(('선제', 'NNG'), 2)
(('반', 'NNG'), 2)
(('ㅅ', 'NNG'), 2)
(('도지사', 'NNG'), 2)
(('우리', 'NNG'), 2)
(('총리', 'NNG'), 2)
(('군대', 'NNG'), 2)
(('수준', 'NNG'), 2)
(('바퀴벌레', 'NNG'), 2)
(('리버스', 'NNG'), 2)
(('트윈', 'NNG'), 2)
(('20180428', 'NR'), 2)
(('보통', 'NNG'), 2)
(('짓거리', 'NNG'), 2)
(('지역', 'NNG'), 2)
(('구역', 'NNG'), 2)
(('죽기', 'NNG'), 2)
(('놈', 'NNG'), 2)
(('예', 'NNG'), 2)
(('라이브', 'NNG'), 2)
(('용인시', 'NNP'), 2)
(('예비', 'NNG'), 2)
(('모', 'NNG'), 2)
(('유방', 'NNG'), 2)
(('시제', 'NNG'), 2)
(('미래', 'NNG'), 2)
(('양', 'NNG'), 2)
(('공무원', 'NNG'), 2)
(('칼럼', 'NNG'), 2)
(('채널', 'NNG'), 2)
(('문재', 'NNG'), 2)
(('공식', 'NNG'), 2)
(('서', 'NNG'), 2)
(('훈련', 'NNG'), 2)
(('저주', 'NNG'), 2)
(('악수', 'NNG'), 2)
(('아침', 'NNG'), 2)
(('29', 'NR'), 2)
(('코리아', 'NNG'), 2)
(('포스트', 'NNG'), 2)
(('돼지', 'NNG'), 2)
(('폐', 'NNG'), 2)
(('평', 'NNG'), 2)
(('분위기', 'NNG'), 2)
(('동네', 'NNG'), 2)
(('ㅂ', 'NNG'), 2)
(('과거', 'NNG'), 2)
(('기억', 'NNG'), 2)
(('유지', 'NNG'), 2)
(('자리', 'NNG'), 2)
(('설레', 'NNB'), 2)
(('대체', 'NNG'), 2)
(('갑', 'NNG'), 2)
(('이동', 'NNG'), 2)
(('뜻밖', 'NNG'), 2)
(('잼', 'NNG'), 2)
(('백기', 'NNG'), 2)
(('영란', 'NNG'), 2)
(('60', 'NR'), 2)
(('숫자', 'NNG'), 2)
(('무장', 'NNG'), 2)
(('핵무장', 'NNG'), 2)
(('헛소리', 'NNG'), 2)
(('의혹', 'NNG'), 2)
(('씨', 'NNB'), 2)
(('대서특필', 'NNG'), 2)
(('모습', 'NNG'), 2)
(('관계자', 'NNG'), 2)
(('링', 'NNG'), 2)
(('만', 'NNG'), 2)
(('귀환', 'NNG'), 2)
(('매체', 'NNG'), 2)
(('대대적', 'NNG'), 2)
(('여과', 'NNG'), 2)
(('전달', 'NNG'), 2)
(('이거', 'NP'), 2)
(('시인', 'NNG'), 2)
(('병원', 'NNG'), 2)
(('충이', 'NNG'), 2)
(('121', 'NR'), 1)
(('혈압', 'NNG'), 1)
(('선배', 'NNG'), 1)
(('마디', 'NNG'), 1)
(('만', 'NNB'), 1)
(('롯데', 'NNP'), 1)
(('1992', 'NR'), 1)
(('33', 'NR'), 1)
(('빙신', 'NNG'), 1)
(('대포', 'NNG'), 1)
(('다구', 'NNG'), 1)
(('파트너', 'NNG'), 1)
(('인정', 'NNG'), 1)
(('세비', 'NNG'), 1)
(('시기', 'NNG'), 1)
(('예우', 'NNG'), 1)
(('보상', 'NNG'), 1)
(('무신', 'NNG'), 1)
(('개뿔', 'NNG'), 1)
(('성공적', 'NNG'), 1)
(('한국인', 'NNG'), 1)
(('눈치', 'NNG'), 1)
(('류', 'NNG'), 1)
(('당의', 'NNG'), 1)
(('발악', 'NNG'), 1)
(('시장', 'NNG'), 1)
(('압축', 'NNG'), 1)
(('선택', 'NNG'), 1)
(('지도', 'NNG'), 1)
(('일생', 'NNG'), 1)
(('보수파', 'NNG'), 1)
(('기독교', 'NNG'), 1)
(('접경', 'NNG'), 1)
(('깡', 'NNG'), 1)
(('흠', 'NNG'), 1)
(('군', 'NNG'), 1)
(('번째', 'NNB'), 1)
(('중계', 'NNG'), 1)
(('1971', 'NR'), 1)
(('아폴로', 'NNG'), 1)
(('생방송', 'NNG'), 1)
(('통도', 'NNG'), 1)
